PROFILE_ID,MONTH_BALANCE,BEGINNING_TOTAL_HOLDINGS_GBP,END_TOTAL_HOLDINGS_GBP,BEGINNING_EQUITY_GBP,END_EQUITY_GBP,BEGINNING_INTEREST_GBP,END_INTEREST_GBP
36411298,2023-03-01,0,0,,,,
36179643,2023-04-01,40,40,,,,
37883555,2023-03-01,,44.74,,,,
36817909,2023-03-01,,20,,,,
38063870,2023-06-01,0.34,0.34,,,,
37378081,2023-06-01,21.85,21.85,,,,
41136012,2023-06-01,,158.71,,,,
38105444,2023-05-01,1,10,,,,
36317267,2023-06-01,974.85,3150.44,,,,
39087635,2023-06-01,19.33,19.39,,,,
36910347,2023-06-01,0,0,,,,
39771423,2023-06-01,3.25,1.23,,,,
37724846,2023-04-01,0,0,,,,
38219966,2023-06-01,100.07,2.46,,,,
36511064,2023-06-01,9089.89,9124.49,,,9089.89,9124.49
38221078,2023-06-01,430.01,1400.71,,,,
37194114,2023-02-01,,0,,,,
36152168,2023-05-01,0,0,,,,
39767863,2023-05-01,,39.28,,,,
36130961,2023-04-01,0.25,0.35,,,,
35639561,2023-05-01,0,302.65,,,,
37956908,2023-03-01,,0,,,,
35729495,2023-04-01,0,0,,,,
36670720,2023-02-01,,20,,,,
35449160,2023-02-01,1.02,0.21,,,,
40586295,2023-06-01,,0,,,,
37719753,2023-06-01,231.31,57.81,,,,
38351266,2023-05-01,17.57,17.19,,,,
39254845,2023-05-01,0,0,,,,
39230201,2023-06-01,44.69,341.69,,,,
37755460,2023-04-01,0,0,,,,
35286855,2023-04-01,461.88,165.86,,,,
35470913,2023-02-01,1451.5,2035.28,,,,
35596823,2023-05-01,93.72,31.16,,,,
37320237,2023-06-01,0,0,,,,
35801729,2023-05-01,0,0,,,,
37723514,2023-04-01,4237.69,2027.89,,,,
38897215,2023-05-01,22.18,2.07,,,,
36102596,2023-04-01,13,13,,,,
41029129,2023-06-01,,59.52,,,,
40405003,2023-06-01,,0,,,,
35257501,2023-06-01,0,0,,,,
38960384,2023-06-01,0.15,0.15,,,,
38848025,2023-04-01,,0,,,,
39723722,2023-06-01,23,23,,,,
37761561,2023-06-01,20,20,,,,
35705982,2023-06-01,0.13,0.13,,,,
36465353,2023-02-01,,0,,,,
37337405,2023-06-01,0,0,,,,
36334136,2023-06-01,0,0.5,,,,
38083759,2023-04-01,1000,995.22,,,,
39756472,2023-05-01,,0,,,,
38499950,2023-04-01,,0,,,,
38005358,2023-05-01,20,20,,,,
36989505,2023-05-01,0,0,,,,
35425116,2023-05-01,0,0,,,,
37339539,2023-04-01,0,0,,,,
37473522,2023-04-01,20,20,,,,
39467615,2023-06-01,20,20,,,,
41010181,2023-06-01,,10,,,,
38530522,2023-06-01,0,0,,,,
41238163,2023-06-01,,0,,,,
35877951,2023-06-01,4.3,4.3,,,,
36357389,2023-03-01,473.36,102.99,,,,
38557395,2023-05-01,1038.3,1038.3,,,,
37557149,2023-05-01,2.98,2.98,,,,
39742275,2023-06-01,0,0,,,,
41267783,2023-06-01,,2.82,,,,
39142696,2023-04-01,,0.92,,,,
35321211,2023-03-01,0,0,,,,
38675166,2023-04-01,,1.26,,,,
36025220,2023-05-01,189.82,190.45,,,,
36948907,2023-04-01,7951.5,18183.42,,,,
35912040,2023-05-01,141.55,16.25,,,,
36042078,2023-05-01,0.19,13.08,,,,
